Participant,Seconds,angry,afraid,happy,sad,neutral
T051,264.0,,,,,
T051,265.0,,,,,
T051,266.0,,,,,
T051,267.0,,,,,
T051,268.0,,,,,
T051,269.0,,,,,
T051,270.0,,,,,
T051,271.0,,,,,
T051,272.0,,,,,
T051,273.0,,,,,
T051,274.0,,,,,
T051,275.0,,,,,
T051,276.0,,,,,
T051,277.0,,,,,
T051,278.0,,,,,
T051,279.0,,,,,
T051,280.0,,,,,
T051,281.0,,,,,
T051,282.0,,,,,
T051,283.0,,,,,
T051,284.0,,,,,
T051,285.0,,,,,
T051,286.0,,,,,
T051,287.0,,,,,
T051,288.0,,,,,
T051,289.0,,,,,
T051,290.0,,,,,
T051,291.0,,,,,
T051,292.0,,,,,
T051,293.0,,,,,
T051,294.0,,,,,
T051,295.0,,,,,
T051,296.0,,,,,
T051,297.0,,,,,
T051,298.0,,,,,
T051,299.0,,,,,
T051,300.0,,,,,
T051,301.0,,,,,
T051,302.0,,,,,
T051,303.0,,,,,
T051,304.0,,,,,
T051,305.0,,,,,
T051,306.0,,,,,
T051,307.0,,,,,
T051,308.0,,,,,
T051,309.0,,,,,
T051,310.0,,,,,
T051,311.0,,,,,
T051,312.0,,,,,
T051,313.0,,,,,
T051,314.0,,,,,
T051,315.0,,,,,
T051,316.0,,,,,
T051,317.0,,,,,
T051,318.0,,,,,
T051,319.0,,,,,
T051,320.0,,,,,
T051,321.0,,,,,
T051,322.0,,,,,
T051,323.0,,,,,
T051,324.0,,,,,
T051,325.0,,,,,
T051,326.0,,,,,
T051,327.0,,,,,
T051,328.0,,,,,
T051,329.0,,,,,
T051,330.0,,,,,
T051,331.0,,,,,
T051,332.0,,,,,
T051,333.0,,,,,
T051,334.0,,,,,
T051,335.0,,,,,
T051,336.0,,,,,
T051,337.0,,,,,
T051,338.0,,,,,
T051,339.0,,,,,
T051,340.0,,,,,
T051,341.0,,,,,
T051,342.0,,,,,
T051,343.0,,,,,
T051,344.0,,,,,
T051,345.0,,,,,
T051,346.0,,,,,
T051,347.0,,,,,
T051,348.0,,,,,
T051,349.0,,,,,
T051,350.0,,,,,
T051,351.0,,,,,
T051,352.0,,,,,
T051,353.0,,,,,
T051,354.0,,,,,
T051,355.0,,,,,
T051,356.0,,,,,
T051,357.0,,,,,
T051,358.0,,,,,
T051,359.0,,,,,
T051,360.0,,,,,
T051,361.0,,,,,
T051,362.0,,,,,
T051,363.0,,,,,
T051,364.0,,,,,
T051,365.0,,,,,
T051,366.0,,,,,
T051,367.0,,,,,
T051,368.0,,,,,
T051,369.0,,,,,
T051,370.0,,,,,
T051,371.0,,,,,
T051,372.0,,,,,
T051,373.0,,,,,
T051,374.0,,,,,
T051,375.0,,,,,
T051,376.0,,,,,
T051,377.0,,,,,
T051,378.0,,,,,
T051,379.0,,,,,
T051,380.0,,,,,
T051,381.0,,,,,
T051,382.0,,,,,
T051,383.0,,,,,
T051,384.0,,,,,
T051,385.0,,,,,
T051,386.0,,,,,
T051,387.0,,,,,
T051,388.0,,,,,
T051,389.0,,,,,
T051,390.0,,,,,
T051,391.0,,,,,
T051,392.0,,,,,
T051,393.0,,,,,
T051,394.0,,,,,
T051,395.0,,,,,
T051,396.0,,,,,
T051,397.0,,,,,
T051,398.0,,,,,
T051,399.0,,,,,
T051,400.0,,,,,
T051,401.0,,,,,
T051,402.0,,,,,
T051,403.0,,,,,
T051,404.0,,,,,
T051,405.0,,,,,
T051,406.0,,,,,
T051,407.0,,,,,
T051,408.0,,,,,
T051,409.0,,,,,
T051,410.0,,,,,
T051,411.0,,,,,
T051,412.0,,,,,
T051,413.0,,,,,
T051,414.0,,,,,
T051,415.0,,,,,
T051,416.0,,,,,
T051,417.0,,,,,
T051,418.0,,,,,
T051,419.0,,,,,
T051,420.0,,,,,
T051,421.0,,,,,
T051,422.0,,,,,
T051,423.0,,,,,
T051,424.0,,,,,
T051,425.0,,,,,
T051,426.0,,,,,
T051,427.0,,,,,
T051,428.0,,,,,
T051,429.0,,,,,
T051,430.0,,,,,
T051,431.0,,,,,
T051,432.0,,,,,
T051,433.0,,,,,
T051,434.0,,,,,
T051,435.0,,,,,
T051,436.0,,,,,
T051,437.0,,,,,
T051,438.0,,,,,
T051,439.0,,,,,
T051,440.0,,,,,
T051,441.0,,,,,
T051,442.0,,,,,
T051,443.0,,,,,
T051,444.0,,,,,
T051,445.0,,,,,
T051,446.0,,,,,
